"Month","Temp"
"Jan",5.4
"Feb",8.9
"Mar",13.6
"Apr",16.6
"May",18.9
"Jun",26.4
"Jul",32.5
"Aug",33.3
"Sep",27.7
"Oct",22.4
"Nov",15.2
"Dec",9.6
